CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,RegistrationDate,NewsletterSubscribed,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,Churn,AvgBasketValue,TenureRatio,IP_Version,IP_FirstOctet,IP_IsPrivate
16098,88,7,2005.63,29.934776119402983,35.43095185809055,3.75,178.20000000000002,613,9.149253731343284,1,50,286,374,1,9,9,0.0,4.2727272727272725,34,34,4.857142857142857,1,0,0,0,0.0,67,7,9.571428571428571,36.0,2010-12-27,Yes,3.0,3.0,Fidèles,35-44,VIP,Occasionnel,Automne,Matin,UK,Établi,Élevé,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0,250.70375,0.30662020905923343,4,156,0
18074,374,1,489.6,37.66153846153846,28.254373952290948,15.8,102.0,190,14.615384615384617,2,48,0,374,2,9,12,0.0,0.0,13,13,13.0,1,0,0,0,0.0,13,1,13.0,40.0,10/02/2010,Yes,2.0,4.0,Potentiels,35-44,Medium,Perdu,Hiver,Matin,UK,Nouveau,Critique,Inconnu,Moyen,Modéré,Unknown,Active,United Kingdom,1,244.8,374.0,4,56,0
17420,50,3,598.83,19.961,5.365604603268926,12.48,39.6,265,8.833333333333334,1,24,323,374,1,15,6,0.0,11.10344827586207,28,28,9.333333333333334,1,0,0,0,0.0,30,3,10.0,28.0,17/09/10,Yes,2.0,-1.0,Potentiels,25-34,High,Occasionnel,Été,Après-midi,UK,Établi,Moyen,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,0,149.7075,0.15432098765432098,4,180,0
16029,39,76,50992.61,186.1044160583941,933.7723490590412,-8142.75,8142.75,32148,117.32846715328468,-1296,2400,335,374,1,11,10,0.0,1.1465201465201464,46,47,0.6052631578947368,1,32,0,32,0.1167883211678832,274,76,3.6052631578947367,,2010-09-28,Yes,2.0,3.0,Champions,Inconnu,VIP,Régulier,Automne,Matin,UK,Établi,Moyen,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,0,662.2416883116883,0.11607142857142858,4,43,0
16250,261,2,389.44,16.226666666666667,4.731409999113387,5.04,27.0,208,8.666666666666666,2,24,112,374,2,9,12,0.0,4.869565217391305,22,22,11.0,1,0,0,0,0.0,24,2,12.0,,11/25/2010,Yes,0.0,3.0,Potentiels,Inconnu,Medium,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,1,129.81333333333333,2.309734513274336,4,62,0
12431,36,18,6416.389999999999,26.73495833333333,50.20159874263217,-38.16,601.44,2868,11.95,-36,336,338,374,3,14,10,0.125,1.3849372384937235,163,163,9.055555555555555,2,4,1,4,0.0166666666666666,240,18,13.333333333333334,70.0,12/09/10,Yes,2.0,1.0,Champions,65+,VIP,Régulier,Automne,Après-midi,Océanie,Établi,Moyen,Semaine,Moyen,Explorateur,F,Active,Australia,0,337.7047368421052,0.10619469026548672,4,116,0
17511,3,46,88125.38,81.90091078066915,87.97828932242282,-179.0,745.0,63012,58.561338289962826,-100,600,370,374,2,11,12,0.0,0.3255813953488372,467,479,10.152173913043478,1,113,0,113,0.1050185873605948,1076,46,23.39130434782609,53.0,2010-09-19,Yes,4.0,2.0,Champions,45-54,VIP,Hyperactif,Hiver,Matin,UK,Ancien,Faible,Inconnu,Grand,Explorateur,F,Active,United Kingdom,0,1875.008085106383,0.008086253369272238,4,181,0
17548,218,3,-141.48,-8.32235294117647,21.79515184892381,-41.400000000000006,30.0,-132,-7.764705882352941,-24,24,155,374,2,10,12,0.0,9.6875,12,12,4.0,1,12,0,12,0.7058823529411765,17,3,5.666666666666667,,07/28/2010,Yes,2.0,4.0,Dormants,Inconnu,Low,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Petit,Modéré,F,Active,United Kingdom,1,-35.37,1.3974358974358974,4,52,0
13705,8,3,711.86,25.423571428571428,29.77312934874216,7.800000000000001,165.0,363,12.964285714285714,1,32,366,374,0,9,12,0.0,13.51851851851852,25,25,8.333333333333334,1,0,0,0,0.0,28,3,9.333333333333334,41.0,24/10/10,Yes,1.0,5.0,Fidèles,35-44,High,Occasionnel,Hiver,Matin,UK,Ancien,Faible,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,0,177.965,0.021798365122615803,4,3,0
13747,374,1,79.6,79.6,0.0,79.6,79.6,8,8.0,8,8,0,374,2,10,12,0.0,,1,1,1.0,1,0,0,0,0.0,1,1,1.0,,2010-06-12,Yes,2.0,-1.0,Dormants,Inconnu,Low,Perdu,Hiver,Matin,UK,Nouveau,Critique,Inconnu,Moyen,Spécialisé,Unknown,Active,United Kingdom,1,39.8,374.0,4,4,0
13408,2,81,27487.41,54.86508982035928,50.54074055098437,-110.43,306.0,16119,32.17365269461078,-48,192,371,374,2,12,12,0.1816367265469061,0.688,236,244,2.9135802469135803,1,23,0,23,0.0459081836327345,501,81,6.185185185185185,,12/22/2010,Yes,2.0,5.0,Champions,Inconnu,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,Unknown,Active,United Kingdom,0,335.2123170731707,0.005376344086021506,4,74,0
13767,2,52,16945.71,42.47045112781954,55.98517467790531,-63.75,532.8000000000001,7258,18.19047619047619,-11,288,371,374,0,14,12,0.0927318295739348,0.8793969849246231,55,55,1.0576923076923077,1,31,0,31,0.0776942355889724,399,52,7.673076923076923,70.0,06/02/10,Yes,2.0,4.0,Champions,65+,VIP,Hyperactif,Hiver,Après-midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,F,Active,United Kingdom,0,319.73037735849056,0.005376344086021506,4,4,0
17924,1,13,2894.33,76.16657894736842,82.68118539129574,-13.95,367.2000000000001,1141,30.026315789473685,-5,120,372,374,0,10,10,0.0,9.91891891891892,27,27,2.076923076923077,1,7,0,7,0.1842105263157894,38,13,2.923076923076923,19.0,2010-01-01,Yes,2.0,1.0,Champions,18-24,VIP,Hyperactif,Automne,Matin,UK,Ancien,Faible,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,0,206.73785714285714,0.002680965147453083,4,228,0
13448,17,10,3465.6700000000005,17.415427135678396,13.9076639976737,-29.75,60.0,1638,8.231155778894472,-12,48,357,374,1,12,9,0.0,1.7828282828282829,137,138,13.7,1,4,0,4,0.0201005025125628,199,10,19.9,,05/10/2010,Yes,3.0,1.0,Champions,Inconnu,VIP,Hyperactif,Automne,Midi,UK,Établi,Faible,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,0,315.06090909090915,0.04748603351955307,4,17,0
15862,8,4,832.88,5.665850340136054,6.137081078919305,0.42,40.56,585,3.979591836734694,1,108,365,374,3,11,12,0.0,2.493150684931507,142,142,35.5,1,0,0,0,0.0,147,4,36.75,61.0,16/09/10,Yes,1.0,1.0,Fidèles,55-64,High,Occasionnel,Hiver,Matin,UK,Ancien,Faible,Inconnu,Petit,Explorateur,F,Suspended,United Kingdom,0,166.576,0.02185792349726776,4,244,1
15513,31,22,14520.080000000002,46.24229299363058,49.33480116740088,-152.64,267.6,5545,17.659235668789808,-144,160,342,374,3,12,3,0.1687898089171974,1.0702875399361025,183,190,8.318181818181818,1,6,0,6,0.019108280254777,314,22,14.272727272727272,47.0,2010-07-24,Yes,3.0,5.0,Champions,45-54,VIP,Régulier,Printemps,Midi,UK,Établi,Moyen,Semaine,Grand,Explorateur,Unknown,Active,United Kingdom,0,631.3078260869567,0.09037900874635568,4,8,0
12791,374,1,192.6,96.3,114.97556262093264,15.0,177.60000000000002,97,48.5,1,96,0,374,2,11,12,0.0,0.0,2,2,2.0,1,0,0,0,0.0,2,1,2.0,55.0,10/18/2010,Yes,3.0,2.0,Dormants,55-64,Medium,Perdu,Hiver,Matin,Europe continentale,Nouveau,Critique,Inconnu,Grand,Spécialisé,F,Suspended,Netherlands,1,96.3,374.0,4,228,0
16218,30,8,3054.87,33.943,28.548470411021825,-13.16,116.0,2077,23.07777777777778,-4,100,343,374,2,11,12,0.0666666666666666,3.831460674157303,56,59,7.0,1,6,0,6,0.0666666666666666,90,8,11.25,,07/12/10,Yes,3.0,3.0,Champions,Inconnu,VIP,Régulier,Hiver,Matin,UK,Établi,Faible,Semaine,Grand,Explorateur,Unknown,Active,United Kingdom,0,339.43,0.0872093023255814,4,202,0
14045,109,4,1659.75,276.625,93.4774397916417,132.0,408.0,535,89.16666666666667,36,147,264,374,3,8,1,0.0,52.6,4,4,1.0,1,0,0,0,0.0,6,4,1.5,77.0,2010-01-17,Yes,2.0,5.0,Fidèles,65+,High,Nouveau,Hiver,Matin,UK,Établi,Critique,Inconnu,Grand,Spécialisé,Unknown,Suspended,United Kingdom,1,331.95,0.41132075471698115,4,140,0
14307,89,6,2995.72,16.642888888888887,7.1135332104509565,5.04,50.85,2058,11.433333333333334,1,96,284,374,2,9,12,0.0,1.5754189944134078,150,150,25.0,1,0,0,0,0.0,180,6,30.0,38.0,11/15/2010,Yes,3.0,4.0,Fidèles,35-44,VIP,Occasionnel,Hiver,Matin,UK,Établi,Élevé,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0,427.96,0.312280701754386,4,171,0
17908,374,1,243.28,4.194482758620689,3.4974608194957733,0.42,19.05,173,2.9827586206896552,1,28,0,374,2,11,12,0.0,0.0,51,51,51.0,1,0,0,0,0.0,58,1,58.0,50.0,09/10/10,Yes,2.0,1.0,Dormants,45-54,Medium,Perdu,Hiver,Matin,UK,Nouveau,Critique,Inconnu,Petit,Explorateur,Unknown,Active,United Kingdom,1,121.64,374.0,4,86,0
17920,4,17,4204.1,6.040373563218392,8.370918354927017,0.12,76.5,2516,3.614942528735632,1,288,369,374,4,14,12,0.2183908045977011,0.516546762589928,407,410,23.94117647058824,1,0,0,0,0.0,696,17,40.94117647058823,,2010-11-22,Yes,3.0,3.0,Champions,Inconnu,VIP,Hyperactif,Hiver,Après-midi,UK,Ancien,Faible,Semaine,Petit,Explorateur,M,Active,United Kingdom,0,233.56111111111113,0.010810810810810811,4,72,0
12838,34,2,683.13,5.55390243902439,5.618184123261079,0.42,35.400000000000006,359,2.9186991869918697,1,12,340,374,6,12,11,0.5203252032520326,2.78688524590164,115,116,57.5,1,0,0,0,0.0,123,2,61.5,75.0,10/21/2010,Yes,999.0,1.0,Potentiels,65+,High,Occasionnel,Automne,Midi,UK,Établi,Moyen,Weekend,Petit,Explorateur,F,Active,United Kingdom,0,227.71,0.09970674486803519,4,122,0
13255,4,3,390.66,27.90428571428572,23.04183209672413,-8.850000000000001,90.0,174,12.428571428571429,-3,72,369,374,2,13,11,0.0,28.384615384615383,13,13,4.333333333333333,1,1,0,1,0.0714285714285714,14,3,4.666666666666667,39.0,17/09/10,Yes,1.0,1.0,Fidèles,35-44,Medium,Occasionnel,Automne,Midi,UK,Ancien,Faible,Inconnu,Moyen,Modéré,F,Active,United Kingdom,0,97.665,0.010810810810810811,4,71,0
16583,374,1,233.45,16.675,1.976472187432018,14.85,20.4,111,7.928571428571429,3,12,0,374,2,12,12,0.0,0.0,14,14,14.0,1,0,0,0,0.0,14,1,14.0,78.0,2010-06-01,Yes,2.0,1.0,Dormants,65+,Medium,Perdu,Hiver,Midi,UK,Nouveau,Critique,Inconnu,Moyen,Modéré,F,Active,United Kingdom,1,116.725,374.0,4,117,0
18085,330,2,689.9499999999999,23.791379310344823,17.99679569180063,7.800000000000001,79.2,265,9.137931034482758,3,16,43,374,3,15,1,0.0,1.5357142857142858,25,25,12.5,1,0,0,0,0.0,29,2,14.5,61.0,06/03/2010,Yes,2.0,2.0,Potentiels,55-64,High,Perdu,Hiver,Après-midi,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,1,229.98333333333332,7.5,4,211,0
13758,12,7,3190.55,27.26965811965812,22.17251330891097,0.42,102.0,1844,15.760683760683762,1,288,361,374,6,15,5,0.4786324786324786,3.0948275862068964,104,104,14.857142857142858,1,0,0,0,0.0,117,7,16.714285714285715,,24/08/10,Yes,3.0,3.0,Champions,Inconnu,VIP,Régulier,Printemps,Après-midi,UK,Établi,Faible,Semaine,Grand,Explorateur,F,Active,United Kingdom,0,398.81875,0.03314917127071823,4,182,0
13694,4,60,62653.1,107.09931623931624,105.17001276900676,-420.0,622.5,61803,105.64615384615384,-200,1600,369,374,3,12,8,0.0119658119658119,0.5941780821917808,369,372,6.15,1,17,0,17,0.029059829059829,585,60,9.75,,2010-08-10,Yes,3.0,5.0,Champions,Inconnu,VIP,Hyperactif,Été,Midi,UK,Ancien,Faible,Semaine,Grand,Explorateur,Unknown,Active,United Kingdom,0,1027.1,0.010810810810810811,4,108,0
15983,22,4,1475.02,13.053274336283186,15.413203838782298,0.84,91.8,892,7.893805309734513,1,48,351,374,3,12,12,0.0,3.125,82,82,20.5,1,0,0,0,0.0,113,4,28.25,44.0,01/22/2010,Yes,3.0,-1.0,Champions,35-44,High,Occasionnel,Hiver,Midi,UK,Établi,Faible,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0,295.004,0.0625,4,160,0
14849,22,28,7904.280000000001,20.16397959183673,14.508505979568442,-10.2,175.2,5656,14.428571428571429,-24,144,351,374,3,11,6,0.0,0.887468030690537,159,163,5.678571428571429,1,4,0,4,0.010204081632653,392,28,14.0,76.0,03/08/10,Yes,2.0,4.0,Champions,65+,VIP,Hyperactif,Été,Matin,UK,Établi,Faible,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0,272.5613793103449,0.0625,4,105,0
17968,374,1,277.35,3.2629411764705885,2.852236308720635,0.29,13.52,160,1.8823529411764703,1,8,0,374,2,12,12,0.0,0.0,74,74,74.0,1,0,0,0,0.0,85,1,85.0,80.0,2010-10-31,Yes,1.0,0.0,Dormants,65+,Medium,Perdu,Hiver,Midi,UK,Nouveau,Critique,Inconnu,Petit,Explorateur,Unknown,Active,United Kingdom,1,138.675,374.0,4,226,0
16210,2,18,21086.300000000003,171.43333333333337,452.75777216069145,6.72,3254.4,7559,61.45528455284553,1,960,372,374,2,12,12,0.0,2.9836065573770494,74,75,4.111111111111111,1,0,0,0,0.0,123,18,6.833333333333333,,12/15/2010,Yes,2.0,5.0,Champions,Inconnu,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Inconnu,Grand,Explorateur,M,Active,United Kingdom,0,1109.8052631578948,0.005361930294906166,4,89,0
17897,173,4,541.1,4.705217391304348,8.761843448168955,-25.5,79.9,223,1.9391304347826088,-6,12,200,374,0,11,12,0.0,1.7543859649122806,100,100,25.0,1,1,0,1,0.008695652173913,115,4,28.75,45.0,11/09/10,Yes,2.0,3.0,Potentiels,45-54,High,Nouveau,Hiver,Matin,UK,Établi,Critique,Inconnu,Petit,Explorateur,M,Active,United Kingdom,1,108.22,0.8606965174129353,4,126,0
17377,24,21,3925.92,9.369737470167063,16.0671952539341,-175.0,153.0,2075,4.952267303102626,-1,36,349,374,0,10,11,0.1408114558472553,0.8157894736842105,191,192,9.095238095238097,1,1,0,1,0.0023866348448687,419,21,19.95238095238096,77.0,2010-11-22,Yes,3.0,-1.0,Champions,65+,VIP,Hyperactif,Automne,Matin,UK,Établi,Faible,Semaine,Petit,Explorateur,F,Active,United Kingdom,0,178.4509090909091,0.06857142857142857,4,241,1
16552,243,2,379.73,22.33705882352941,18.437844154315428,10.2,91.8,219,12.882352941176473,2,48,130,374,0,10,4,0.0,8.125,17,17,8.5,1,0,0,0,0.0,17,2,8.5,33.0,08/31/2010,Yes,1.0,2.0,Potentiels,25-34,Medium,Perdu,Printemps,Matin,UK,Jeune,Critique,Inconnu,Moyen,Modéré,M,Active,United Kingdom,1,126.57666666666667,1.8549618320610688,4,48,0
17181,57,2,239.92,10.431304347826083,21.67213739183182,1.25,79.2,241,10.478260869565217,1,144,316,374,3,14,10,0.0,14.363636363636363,23,23,11.5,1,0,0,0,0.0,23,2,11.5,32.0,18/08/10,Yes,2.0,3.0,Potentiels,25-34,Medium,Occasionnel,Automne,Après-midi,UK,Établi,Moyen,Inconnu,Moyen,Explorateur,M,Active,United Kingdom,0,79.97333333333333,0.17981072555205047,4,223,0
17951,40,4,990.8400000000004,47.18285714285715,50.33315379974289,-17.700000000000003,177.60000000000002,610,29.047619047619047,-6,96,333,374,0,12,10,0.0,16.65,18,18,4.5,1,1,0,1,0.0476190476190476,21,4,5.25,,2010-11-04,Yes,1.0,4.0,Fidèles,Inconnu,High,Occasionnel,Automne,Midi,UK,Établi,Moyen,Inconnu,Grand,Modéré,Unknown,Active,United Kingdom,0,198.16800000000006,0.11976047904191617,4,189,0
14729,374,1,313.49000000000007,4.415352112676057,3.77889206400346,0.65,19.8,197,2.7746478873239435,1,16,0,374,2,12,12,0.0,0.0,69,69,69.0,1,0,0,0,0.0,71,1,71.0,79.0,03/19/2010,Yes,3.0,3.0,Potentiels,65+,Medium,Perdu,Hiver,Midi,UK,Nouveau,Critique,Inconnu,Petit,Explorateur,F,Active,United Kingdom,1,156.74500000000003,374.0,4,237,0
12748,1,224,29072.1,6.262839293408013,38.3936798721033,-1829.84,850.5,24210,5.2154243860405,-244,576,372,374,2,11,11,0.1544592847910383,0.0642102995044171,1769,1779,7.897321428571429,1,46,1,46,0.0099095217578629,4642,224,20.723214285714285,,17/07/10,Yes,1.0,3.0,Champions,Inconnu,VIP,Hyperactif,Automne,Matin,UK,Ancien,Faible,Semaine,Moyen,Explorateur,F,Active,United Kingdom,0,129.20933333333332,0.002680965147453083,4,135,0
15012,54,2,423.04,3.305,2.477535923446622,0.39,12.75,231,1.8046875,1,12,319,374,0,12,10,0.0,2.5118110236220472,110,111,55.0,1,0,0,0,0.0,128,2,64.0,79.0,2010-08-27,Yes,1.0,3.0,Potentiels,65+,Medium,Occasionnel,Automne,Midi,UK,Établi,Moyen,Inconnu,Petit,Explorateur,Unknown,Active,United Kingdom,0,141.01333333333335,0.16875,4,227,0
12868,186,6,1607.0600000000002,15.0192523364486,5.904255373135322,3.12,31.6,928,8.672897196261681,1,24,187,374,2,15,1,0.0,1.7452830188679245,72,72,12.0,1,0,0,0,0.0,107,6,17.833333333333332,,10/17/2010,Yes,6.0,0.0,Fidèles,Inconnu,High,Perdu,Hiver,Après-midi,UK,Établi,Critique,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,1,229.58,0.9893617021276596,4,76,0
17572,71,4,226.75,18.89583333333333,3.697939127119155,13.05,26.1,95,7.916666666666667,2,18,302,373,2,12,4,0.0,27.27272727272728,7,7,1.75,1,0,0,0,0.0,12,4,3.0,61.0,09/09/10,Yes,2.0,1.0,Potentiels,55-64,Medium,Occasionnel,Printemps,Midi,UK,Établi,Élevé,Inconnu,Moyen,Modéré,Unknown,Pending,United Kingdom,0,45.35,0.23432343234323433,4,163,0
14078,102,6,1049.37,16.144153846153845,32.05769383530982,0.83,158.75,310,4.769230769230769,1,25,271,373,2,12,6,0.0,4.203125,46,46,7.666666666666667,1,0,0,0,0.0,65,6,10.833333333333334,72.0,2010-12-03,Yes,1.0,2.0,Fidèles,65+,High,Nouveau,Été,Midi,UK,Établi,Critique,Inconnu,Petit,Explorateur,M,Active,United Kingdom,1,149.91,0.375,4,193,0
14001,46,4,2030.33,50.75825,53.16003761683278,-12.75,179.0,959,23.975,-3,100,327,373,1,9,4,0.0,8.35897435897436,35,35,8.75,1,1,0,1,0.025,40,4,10.0,69.0,11/27/2010,Yes,2.0,3.0,Fidèles,65+,VIP,Occasionnel,Printemps,Matin,UK,Établi,Moyen,Inconnu,Grand,Explorateur,F,Active,United Kingdom,0,406.066,0.1402439024390244,4,42,0
12662,1,12,3817.08,16.45293103448276,7.674131620825337,-17.4,41.6,2040,8.793103448275861,-12,60,372,373,1,13,6,0.1336206896551724,1.593073593073593,129,129,10.75,1,2,0,2,0.0086206896551724,232,12,19.33333333333333,,21/06/10,Yes,2.0,3.0,Champions,Inconnu,VIP,Hyperactif,Été,Midi,Europe continentale,Ancien,Faible,Semaine,Moyen,Explorateur,Unknown,Active,Germany,0,293.6215384615385,0.002680965147453083,4,48,0
15525,2,4,811.02,4.5056666666666665,4.749451259100343,-8.95,29.85,414,2.3,-1,24,371,373,2,14,12,0.0,2.0670391061452515,133,133,33.25,1,2,0,2,0.0111111111111111,180,4,45.0,,2010-05-15,Yes,0.0,5.0,Fidèles,Inconnu,High,Occasionnel,Hiver,Après-midi,UK,Ancien,Faible,Inconnu,Petit,Explorateur,F,Active,United Kingdom,0,162.204,0.005376344086021506,4,192,0
14237,373,1,161.00000000000003,17.888888888888893,6.67845312262586,10.2,33.9,38,4.222222222222222,1,12,0,373,2,13,12,0.0,0.0,9,9,9.0,1,0,0,0,0.0,9,1,9.0,54.0,07/23/2010,Yes,3.0,2.0,Dormants,45-54,Medium,Perdu,Hiver,Midi,UK,Nouveau,Critique,Inconnu,Petit,Modéré,Unknown,Active,United Kingdom,1,80.50000000000001,373.0,4,113,0
17905,71,4,800.24,23.536470588235293,42.11564107940673,1.25,181.25,407,11.970588235294118,1,125,302,373,2,13,12,0.0,9.12121212121212,33,33,8.25,1,0,0,0,0.0,34,4,8.5,68.0,29/04/10,Yes,2.0,2.0,Fidèles,65+,High,Occasionnel,Hiver,Midi,UK,Établi,Élevé,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0,160.048,0.23432343234323433,4,121,0
